warehouseCode,productCode,productName,quantityInStock,total_sold,sales_to_stock_ratio
d,S700_3962,"The Queen Mary",5088,896,0.18
b,S24_3191,"1969 Chevrolet Camaro Z28",4695,870,0.19
a,S18_1662,"1980s Black Hawk Helicopter",5330,1040,0.20
a,S72_1253,"Boeing X-32A JSF",4857,960,0.20
b,S18_2238,"1998 Chrysler Plymouth Prowler",4724,986,0.21
c,S24_4258,"1936 Chrysler Airflow",4710,983,0.21
a,S18_2625,"1936 Harley Davidson El Knucklehead",4357,945,0.22
b,S18_3232,"1992 Ferrari 360 Spider red",8347,1808,0.22
d,S18_3029,"1999 Yamaha Speed Boat",4259,966,0.23
c,S18_3140,"1903 Ford Model A",3913,883,0.23
b,S18_1129,"1993 Mazda RX-7",3975,947,0.24
b,S18_4933,"1957 Ford Thunderbird",3209,767,0.24
b,S24_1444,"1970 Dodge Coronet",4074,976,0.24
c,S18_2949,"1913 Ford Model T Speedster",4189,1038,0.25
d,S700_2047,"HMS Bounty",3501,897,0.26
a,S24_1785,"1928 British Royal Navy Airplane",3627,972,0.27
a,S32_4485,"1974 Ducati 350 Mk3 Desmo",3341,898,0.27
b,S12_1108,"2001 Ferrari Enzo",3619,1019,0.28
c,S24_3420,"1937 Horch 930V Limousine",2902,884,0.30
b,S10_4757,"1972 Alfa Romeo GTA",3252,1030,0.32
d,S32_2509,"1954 Greyhound Scenicruiser",2874,955,0.33
c,S18_1749,"1917 Grand Touring Sedan",2724,918,0.34
d,S18_4600,"1940s Ford truck",3128,1061,0.34
c,S24_2022,"1938 Cadillac V-16 Presidential Limousine",2847,955,0.34
a,S24_4278,"1900s Vintage Tri-Plane",2756,1009,0.37
d,S18_1097,"1940 Ford Pickup Truck",2613,999,0.38
b,S24_2840,"1958 Chevy Corvette Limited Edition",2542,983,0.39
b,S24_2766,"1949 Jaguar XK 120",2350,949,0.40
c,S24_3969,"1936 Mercedes Benz 500k Roadster",2081,824,0.40
d,S24_2300,"1962 Volkswagen Microbus",2327,1029,0.44
c,S18_3856,"1941 Chevrolet Special Deluxe Cabriolet",2378,1076,0.45
d,S18_2432,"1926 Ford Fire Engine",2018,998,0.49
d,S700_1138,"The Schooner Bluenose",1897,934,0.49
d,S700_3505,"The Titanic",1956,952,0.49
b,S18_3278,"1969 Dodge Super Bee",1917,974,0.51
d,S24_2011,"18th century schooner",1898,1011,0.53
d,S50_1514,"1962 City of Detroit Streetcar",1645,966,0.59
b,S24_2887,"1952 Citroen-15CV",1452,873,0.60
d,S12_1666,"1958 Setra Bus",1579,972,0.62
b,S24_1046,"1970 Chevy Chevelle SS 454",1005,803,0.80
b,S18_4721,"1957 Corvette Convertible",1249,1013,0.81
b,S12_3891,"1969 Ford Falcon",1049,965,0.92
a,S18_2581,"P-51-D Mustang",992,917,0.92
d,S50_1392,"Diamond T620 Semi-Skirted Tanker",1016,979,0.96
d,S32_3522,"1996 Peterbilt 379 Stake Bed with Outrigger",814,988,1.21
d,S700_1938,"The Mayflower",737,898,1.22
c,S18_2248,"1911 Ford Town Car",540,832,1.54
c,S18_2795,"1928 Mercedes-Benz SSK",548,880,1.61
a,S50_4713,"2002 Yamaha YZR M1",600,992,1.65
a,S700_3167,"F/A 18 Hornet 1/72",551,1047,1.90
d,S72_3212,"Pont Yacht",414,958,2.31
a,S32_1374,"1997 BMW F650 ST",178,1014,5.70
c,S32_4289,"1928 Ford Phaeton Deluxe",136,972,7.15
b,S12_1099,"1968 Ford Mustang",68,933,13.72
a,S24_2000,"1960 BSA Gold Star DBD34",15,1015,67.67
